name	game_category	game_perspective	region	rank						unique_player
abummfrey0	Solo	FPP	EU	7620						abummfrey0
abummfrey0	Solo	TPP	EU	5971						aprahm5
abummfrey0	Solo	FPP	AS	516						atwinbornei
aprahm5	Solo	TPP	NA	5454						bboothebie4
aprahm5	Squad	TPP	NA	5741						byounghusband7
atwinbornei	Solo	TPP	EU	3003						cbennison7
atwinbornei	Duo	TPP	NA	4681						cchatfieldd
bboothebie4	Solo	TPP	EU	4141						cgeroldini2
bboothebie4	Solo	TPP	AS	4754						cmaccallum9
bboothebie4	Solo	TPP	EU	3812						cochterlonief
bboothebie4	Squad	FPP	NA	5551						cswinnard8
cbennison7	Squad	TPP	AS	6017						cwalaron6
cbennison7	Solo	FPP	EU	5576						dgerasch5
cbennison7	Squad	TPP	NA	8935						dhurling0
cbennison7	Duo	TPP	AS	2304						dpownallj
cbennison7	Duo	FPP	EU	3815						dripinga
cchatfieldd	Solo	TPP	NA	1273						gmerrigansh
cchatfieldd	Duo	TPP	NA	4135						hmayelli
cgeroldini2	Solo	FPP	AS	316						ibarthelme1
cgeroldini2	Squad	TPP	AS	5949						isheville
cgeroldini2	Squad	TPP	NA	8526						jtassel6
cgeroldini2	Squad	TPP	AS	6510						jthornsc
cmaccallum9	Duo	TPP	AS	9029						kgrinvalds8
cmaccallum9	Squad	TPP	EU	316						lbeachh
cmaccallum9	Duo	TPP	AS	7370						lhanna3
cochterlonief	Squad	TPP	EU	2788						mcasirolij
cochterlonief	Duo	TPP	NA	13						mmelatod
cochterlonief	Squad	TPP	EU	128						mmurdiea
cochterlonief	Duo	TPP	NA	6557						nkassmanb
cochterlonief	Duo	TPP	NA	1224						nnutten4
cswinnard8	Duo	FPP	AS	5976						ntumab
cswinnard8	Duo	FPP	NA	1339						opitson3
cwalaron6	Duo	TPP	AS	5770						rdaveridgec
cwalaron6	Duo	FPP	EU	7060						rsheare
cwalaron6	Solo	FPP	EU	6405						sboffeyf
dgerasch5	Solo	FPP	EU	8486						sdannelg
dgerasch5	Squad	TPP	EU	9927						swoolens9
dpownallj	Duo	FPP	NA	6979						torrissg
dpownallj	Duo	FPP	NA	9959						tshergill1
dpownallj	Duo	FPP	EU	8230						usimenot2
dpownallj	Solo	TPP	AS	1444						
dpownallj	Duo	FPP	AS	306						
dpownallj	Solo	TPP	EU	8317						
dpownallj	Solo	FPP	AS	6847						
dripinga	Duo	FPP	AS	310						
gmerrigansh	Squad	TPP	NA	8377						
gmerrigansh	Squad	TPP	EU	451						
gmerrigansh	Squad	FPP	EU	1509						
gmerrigansh	Duo	TPP	AS	9444						
hmayelli	Solo	FPP	NA	1124						
hmayelli	Solo	FPP	EU	1618						
hmayelli	Duo	TPP	EU	3507						
ibarthelme1	Duo	FPP	AS	4758						
ibarthelme1	Squad	TPP	EU	2975						
isheville	Squad	FPP	NA	1755						
isheville	Solo	FPP	NA	8827						
isheville	Duo	TPP	EU	3						
jtassel6	Solo	FPP	AS	1468						
jtassel6	Squad	FPP	NA	8334						
jtassel6	Solo	FPP	EU	8794						
jtassel6	Duo	TPP	NA	3138						
jtassel6	Squad	TPP	NA	8260						
jtassel6	Duo	TPP	EU	2872						
jthornsc	Solo	TPP	AS	6930						
jthornsc	Solo	TPP	AS	1627						
jthornsc	Squad	TPP	EU	8248						
jthornsc	Duo	TPP	NA	3221						
kgrinvalds8	Squad	TPP	NA	8969						
lbeachh	Squad	TPP	AS	1974						
lbeachh	Duo	FPP	AS	7039						
lhanna3	Solo	FPP	NA	226						
mcasirolij	Duo	TPP	AS	4299						
mcasirolij	Solo	TPP	NA	3760						
mcasirolij	Duo	FPP	EU	2843						
mcasirolij	Duo	FPP	NA	7736						
mmelatod	Squad	TPP	AS	2802						
mmelatod	Duo	TPP	NA	3981						
mmelatod	Solo	FPP	NA	2381						
mmurdiea	Duo	TPP	AS	6843						
mmurdiea	Squad	TPP	NA	6473						
mmurdiea	Solo	TPP	NA	1111						
mmurdiea	Squad	FPP	EU	7233						
mmurdiea	Solo	FPP	AS	4376						
nnutten4	Duo	TPP	AS	3342						
ntumab	Solo	FPP	NA	9907						
ntumab	Squad	TPP	AS	1735						
ntumab	Squad	FPP	NA	2207						
opitson3	Squad	TPP	NA	6597						
rdaveridgec	Squad	TPP	AS	9150						
rsheare	Squad	FPP	EU	7688						
sdannelg	Duo	TPP	EU	9788						
sdannelg	Duo	FPP	NA	9318						
swoolens9	Squad	FPP	NA	1905						
swoolens9	Solo	TPP	AS	366						
torrissg	Squad	TPP	AS	6517						
torrissg	Solo	TPP	NA	2142						
torrissg	Squad	TPP	AS	6017						
usimenot2	Solo	FPP	AS	1915						
usimenot2	Solo	TPP	AS	7800						
usimenot2	Squad	FPP	AS	3675						
